date,sentences
"2017-08-01",0
"2017-08-02",0
"2017-08-03",0
"2017-08-04",0
"2017-08-05",0
"2017-08-06",0
"2017-08-07",0
"2017-08-08",0
"2017-08-09",0
"2017-08-10",3
"2017-08-11",0
"2017-08-12",0
"2017-08-13",0
"2017-08-14",0
"2017-08-15",0
"2017-08-16",0
"2017-08-17",0
"2017-08-18",0
"2017-08-19",0
"2017-08-20",0
"2017-08-21",0
"2017-08-22",0
"2017-08-23",0
"2017-08-24",3
"2017-08-25",0
"2017-08-26",0
"2017-08-27",0
"2017-08-28",0
"2017-08-29",0
"2017-08-30",0
"2017-08-31",0
"2017-09-01",0
"2017-09-02",0
"2017-09-03",0
"2017-09-04",0
"2017-09-05",0
"2017-09-06",2
"2017-09-07",0
"2017-09-08",0
"2017-09-09",0
"2017-09-10",4
"2017-09-11",0
"2017-09-12",0
"2017-09-13",1
"2017-09-14",0
"2017-09-15",6
"2017-09-16",2
"2017-09-17",115
"2017-09-18",425
"2017-09-19",736
"2017-09-20",865
"2017-09-21",852
"2017-09-22",587
"2017-09-23",310
"2017-09-24",258
"2017-09-25",525
"2017-09-26",786
"2017-09-27",542
"2017-09-28",514
"2017-09-29",631
"2017-09-30",412
"2017-10-01",362
"2017-10-02",296
"2017-10-03",581
"2017-10-04",436
"2017-10-05",237
"2017-10-06",336
"2017-10-07",95
"2017-10-08",104
"2017-10-09",163
"2017-10-10",129
"2017-10-11",316
"2017-10-12",317
"2017-10-13",125
"2017-10-14",67
"2017-10-15",40
"2017-10-16",116
