date,sentences
"2017-08-01",396
"2017-08-02",356
"2017-08-03",487
"2017-08-04",348
"2017-08-05",221
"2017-08-06",165
"2017-08-07",394
"2017-08-08",366
"2017-08-09",483
"2017-08-10",467
"2017-08-11",303
"2017-08-12",220
"2017-08-13",284
"2017-08-14",401
"2017-08-15",507
"2017-08-16",571
"2017-08-17",465
"2017-08-18",409
"2017-08-19",345
"2017-08-20",238
"2017-08-21",521
"2017-08-22",570
"2017-08-23",602
"2017-08-24",909
"2017-08-25",503
"2017-08-26",197
"2017-08-27",204
"2017-08-28",552
"2017-08-29",498
"2017-08-30",580
"2017-08-31",541
"2017-09-01",603
"2017-09-02",560
"2017-09-03",520
"2017-09-04",532
"2017-09-05",1372
"2017-09-06",2368
"2017-09-07",2613
"2017-09-08",2979
"2017-09-09",2656
"2017-09-10",3359
"2017-09-11",3243
"2017-09-12",2091
"2017-09-13",1807
"2017-09-14",1613
"2017-09-15",983
"2017-09-16",657
"2017-09-17",510
"2017-09-18",627
"2017-09-19",809
"2017-09-20",590
"2017-09-21",544
"2017-09-22",540
"2017-09-23",497
"2017-09-24",352
"2017-09-25",488
"2017-09-26",750
"2017-09-27",689
"2017-09-28",629
"2017-09-29",532
"2017-09-30",480
"2017-10-01",606
"2017-10-02",633
"2017-10-03",402
"2017-10-04",1
"2017-10-05",0
"2017-10-06",1
"2017-10-07",0
