date,sentences
"2017-07-01",908
"2017-07-04",1298
"2017-07-07",819
"2017-07-10",1467
"2017-07-13",1343
"2017-07-16",1084
"2017-07-19",1719
"2017-07-22",896
"2017-07-25",1187
"2017-07-28",642
"2017-07-31",1260
"2017-08-03",1076
"2017-08-06",929
"2017-08-09",1264
"2017-08-12",911
"2017-08-15",1565
"2017-08-18",1000
"2017-08-21",1701
"2017-08-24",1667
"2017-08-27",1294
"2017-08-30",1806
"2017-09-02",1683
"2017-09-05",7426
"2017-09-08",10419
"2017-09-11",8307
"2017-09-14",3578
"2017-09-17",2169
"2017-09-20",1899
"2017-09-23",1443
"2017-09-26",2246
"2017-09-29",1672
"2017-10-02",2110
"2017-10-05",1920
"2017-10-08",1222
"2017-10-11",1875
"2017-10-14",1090
"2017-10-17",2048
"2017-10-20",1734
"2017-10-23",1547
"2017-10-26",1856
"2017-10-29",1580
"2017-11-01",1515
"2017-11-04",1129
"2017-11-07",1759
"2017-11-10",1099
