date,sentences
"2017-07-01",1
"2017-07-04",18
"2017-07-07",9
"2017-07-10",3
"2017-07-13",1
"2017-07-16",0
"2017-07-19",1
"2017-07-22",0
"2017-07-25",3
"2017-07-28",1
"2017-07-31",3
"2017-08-03",1
"2017-08-06",3
"2017-08-09",18
"2017-08-12",1
"2017-08-15",4
"2017-08-18",0
"2017-08-21",3
"2017-08-24",12
"2017-08-27",3
"2017-08-30",216
"2017-09-02",397
"2017-09-05",5412
"2017-09-08",7167
"2017-09-11",5689
"2017-09-14",1949
"2017-09-17",1462
"2017-09-20",930
"2017-09-23",334
"2017-09-26",561
"2017-09-29",321
"2017-10-02",303
"2017-10-05",211
"2017-10-08",226
"2017-10-11",382
"2017-10-14",70
"2017-10-17",91
"2017-10-20",120
"2017-10-23",92
"2017-10-26",189
"2017-10-29",76
"2017-11-01",38
"2017-11-04",18
"2017-11-07",41
"2017-11-10",33
