date,sentences
"2017-07-01",0
"2017-07-04",5
"2017-07-07",0
"2017-07-10",0
"2017-07-13",0
"2017-07-16",0
"2017-07-19",1
"2017-07-22",0
"2017-07-25",0
"2017-07-28",0
"2017-07-31",0
"2017-08-03",0
"2017-08-06",0
"2017-08-09",3
"2017-08-12",0
"2017-08-15",0
"2017-08-18",0
"2017-08-21",0
"2017-08-24",3
"2017-08-27",0
"2017-08-30",0
"2017-09-02",2
"2017-09-05",2
"2017-09-08",4
"2017-09-11",1
"2017-09-14",8
"2017-09-17",1277
"2017-09-20",2305
"2017-09-23",1094
"2017-09-26",1907
"2017-09-29",1407
"2017-10-02",1322
"2017-10-05",678
"2017-10-08",402
"2017-10-11",785
"2017-10-14",252
"2017-10-17",347
"2017-10-20",248
"2017-10-23",353
"2017-10-26",250
"2017-10-29",242
"2017-11-01",117
"2017-11-04",78
"2017-11-07",183
"2017-11-10",64
