date,sentences
"2017-07-01",1252
"2017-07-04",1916
"2017-07-07",1386
"2017-07-10",2484
"2017-07-13",1862
"2017-07-16",1954
"2017-07-19",2614
"2017-07-22",2175
"2017-07-25",3170
"2017-07-28",1301
"2017-07-31",2783
"2017-08-03",1945
"2017-08-06",1888
"2017-08-09",2133
"2017-08-12",1577
"2017-08-15",2945
"2017-08-18",1259
"2017-08-21",2829
"2017-08-24",6500
"2017-08-27",13068
"2017-08-30",11128
"2017-09-02",4878
"2017-09-05",5453
"2017-09-08",2931
"2017-09-11",3532
"2017-09-14",2688
"2017-09-17",2237
"2017-09-20",2750
"2017-09-23",2086
"2017-09-26",3091
"2017-09-29",2058
"2017-10-02",2583
"2017-10-05",2098
"2017-10-08",2216
"2017-10-11",3044
"2017-10-14",1711
"2017-10-17",2381
"2017-10-20",2180
"2017-10-23",2813
"2017-10-26",2577
"2017-10-29",1885
"2017-11-01",2682
"2017-11-04",6125
"2017-11-07",4817
"2017-11-10",1953
