Category: All categories

Day,Hurricane Maria: (United States),Hurricane Harvey: (United States),Hurricane Irma: (United States)
2017-08-01,0,0,0
2017-08-02,0,0,0
2017-08-03,0,0,0
2017-08-04,0,0,0
2017-08-05,0,0,0
2017-08-06,0,0,0
2017-08-07,0,0,0
2017-08-08,0,0,0
2017-08-09,0,0,0
2017-08-10,0,0,0
2017-08-11,0,0,0
2017-08-12,0,0,0
2017-08-13,0,0,0
2017-08-14,0,0,0
2017-08-15,0,0,0
2017-08-16,0,0,0
2017-08-17,0,0,0
2017-08-18,0,0,0
2017-08-19,0,0,0
2017-08-20,0,0,0
2017-08-21,0,0,0
2017-08-22,0,0,0
2017-08-23,0,1,0
2017-08-24,0,9,0
2017-08-25,0,29,0
2017-08-26,0,45,0
2017-08-27,0,18,0
2017-08-28,0,17,0
2017-08-29,0,15,0
2017-08-30,0,13,0
2017-08-31,0,9,5
2017-09-01,0,7,13
2017-09-02,0,4,12
2017-09-03,0,4,23
2017-09-04,0,3,34
2017-09-05,0,4,70
2017-09-06,0,4,96
2017-09-07,0,3,86
2017-09-08,0,3,79
2017-09-09,0,2,92
2017-09-10,0,2,100
2017-09-11,0,2,54
2017-09-12,0,1,13
2017-09-13,0,1,6
2017-09-14,0,1,4
2017-09-15,0,1,3
2017-09-16,1,0,2
2017-09-17,5,0,2
2017-09-18,11,1,2
2017-09-19,20,1,2
2017-09-20,19,1,1
2017-09-21,11,1,1
2017-09-22,6,0,1
2017-09-23,4,0,1
2017-09-24,4,0,1
2017-09-25,3,0,1
2017-09-26,2,0,1
2017-09-27,1,0,1
2017-09-28,1,0,0
2017-09-29,1,0,0
2017-09-30,1,0,0
2017-10-01,0,0,0
2017-10-02,0,0,0
2017-10-03,0,0,0
2017-10-04,0,0,0
2017-10-05,0,0,0
2017-10-06,0,0,0
2017-10-07,0,0,0
2017-10-08,0,0,0
2017-10-09,0,0,0
2017-10-10,0,0,0
2017-10-11,0,0,0
2017-10-12,0,0,0
