Category: All categories

Day,Texas: (United States),Florida: (United States),Puerto Rico: (United States)
2017-07-01,89,73,5
2017-07-02,86,74,6
2017-07-03,92,76,5
2017-07-04,87,72,6
2017-07-05,97,78,6
2017-07-06,94,78,6
2017-07-07,90,77,5
2017-07-08,87,75,6
2017-07-09,86,77,6
2017-07-10,92,80,6
2017-07-11,90,78,5
2017-07-12,90,80,5
2017-07-13,89,80,5
2017-07-14,88,81,5
2017-07-15,88,79,5
2017-07-16,85,78,6
2017-07-17,92,81,5
2017-07-18,93,78,5
2017-07-19,90,78,5
2017-07-20,90,79,5
2017-07-21,89,78,5
2017-07-22,86,76,6
2017-07-23,86,75,5
2017-07-24,95,78,5
2017-07-25,100,79,5
2017-07-26,95,77,5
2017-07-27,94,77,5
2017-07-28,92,75,5
2017-07-29,89,72,5
2017-07-30,86,75,5
2017-07-31,95,82,5
