Date,Combined
2017080120170801,0
2017080220170802,0
2017080320170803,0
2017080420170804,0
2017080520170805,0
2017080620170806,0
2017080720170807,0
2017080820170808,0
2017080920170809,0
2017081020170810,0
2017081120170811,0
2017081220170812,0
2017081320170813,0
2017081420170814,0
2017081520170815,0
2017081620170816,0
2017081720170817,0
2017081820170818,0
2017081920170819,0
2017082020170820,0
2017082120170821,0
2017082220170822,0
2017082320170823,0.0141
2017082420170824,0.0940
2017082520170825,0.6590
2017082620170826,0.9183
2017082720170827,0.2657
2017082820170828,0.2882
2017082920170829,0.2428
2017083020170830,0.2695
2017083120170831,0.3191
2017090120170901,0.3547
2017090220170902,0.3715
2017090320170903,0.2236
2017090420170904,0.2374
2017090520170905,0.2625
2017090620170906,0.2417
2017090720170907,0.1988
2017090820170908,0.1946
2017090920170909,0.1172
2017091020170910,0.0909
2017091120170911,0.1015
2017091220170912,0.0763
2017091320170913,0.0659
2017091420170914,0.0489
2017091520170915,0.0458
2017091620170916,0.0286
2017091720170917,0.0526
2017091820170918,0.0572
2017091920170919,0.0369
2017092020170920,0.0306
2017092120170921,0.0338
2017092220170922,0.0407
2017092320170923,0.0344
2017092420170924,0.0380
2017092520170925,0.0284
2017092620170926,0.0199
2017092720170927,0.0324
2017092820170928,0.0344
2017092920170929,0.0220
2017093020170930,0.0404
2017100120171001,0.0314
2017100220171002,0.0245
2017100320171003,0.0182
2017100420171004,0.0203
2017100520171005,0.0237
2017100620171006,0.0265
2017100720171007,0.0337
2017100820171008,0.0524
