Date,Combined
2017080120170801,0
2017080220170802,0
2017080320170803,0
2017080420170804,0
2017080520170805,0
2017080620170806,0
2017080720170807,0
2017080820170808,0
2017080920170809,0
2017081020170810,0
2017081120170811,0
2017081220170812,0
2017081320170813,0
2017081420170814,0
2017081520170815,0
2017081620170816,0
2017081720170817,0
2017081820170818,0
2017081920170819,0
2017082020170820,0
2017082120170821,0
2017082220170822,0
2017082320170823,0
2017082420170824,0
2017082520170825,0
2017082620170826,0
2017082720170827,0
2017082820170828,0
2017082920170829,0
2017083020170830,0.0101
2017083120170831,0.0157
2017090120170901,0.0560
2017090220170902,0.0449
2017090320170903,0.0330
2017090420170904,0.0795
2017090520170905,0.2881
2017090620170906,0.6278
2017090720170907,0.8175
2017090820170908,0.9839
2017090920170909,0.9209
2017091020170910,0.8865
2017091120170911,0.9174
2017091220170912,0.4710
2017091320170913,0.3100
2017091420170914,0.3417
2017091520170915,0.1298
2017091620170916,0.1247
2017091720170917,0.1329
2017091820170918,0.1447
2017091920170919,0.1437
2017092020170920,0.1334
2017092120170921,0.0699
2017092220170922,0.0360
2017092320170923,0.0229
2017092420170924,0.0755
2017092520170925,0.0503
2017092620170926,0.0265
2017092720170927,0.0319
2017092820170928,0.0279
2017092920170929,0.0237
2017093020170930,0.0286
2017100120171001,0.0283
2017100220171002,0.0161
2017100320171003,0.0233
2017100420171004,0.0234
2017100520171005,0.0194
2017100620171006,0.0344
2017100720171007,0.0217
2017100820171008,0.0149
2017100920171009,0.0156
2017101020171010,0.0109
2017101120171011,0.0231
2017101220171012,0.0165
2017101320171013,0.0239
2017101420171014,0.0232
2017101520171015,0
2017101620171016,0
