Date,Combined
2017070120170701,0
2017070220170702,0
2017070320170703,0
2017070420170704,0
2017070520170705,0
2017070620170706,0
2017070720170707,0
2017070820170708,0
2017070920170709,0
2017071020170710,0
2017071120170711,0
2017071220170712,0
2017071320170713,0
2017071420170714,0
2017071520170715,0
2017071620170716,0
2017071720170717,0
2017071820170718,0
2017071920170719,0
2017072020170720,0
2017072120170721,0
2017072220170722,0
2017072320170723,0
2017072420170724,0
2017072520170725,0
2017072620170726,0
2017072720170727,0
2017072820170728,0
2017072920170729,0
2017073020170730,0
2017073120170731,0
2017080120170801,0
2017080220170802,0
2017080320170803,0
2017080420170804,0
2017080520170805,0
2017080620170806,0
2017080720170807,0
2017080820170808,0
2017080920170809,0
2017081020170810,0
2017081120170811,0
2017081220170812,0
2017081320170813,0
2017081420170814,0
2017081520170815,0
2017081620170816,0
2017081720170817,0
2017081820170818,0
2017081920170819,0
2017082020170820,0
2017082120170821,0
2017082220170822,0
2017082320170823,0
2017082420170824,0
2017082520170825,0
2017082620170826,0
2017082720170827,0
2017082820170828,0
2017082920170829,0
2017083020170830,0
2017083120170831,0
2017090120170901,0
2017090220170902,0
2017090320170903,0
2017090420170904,0
2017090520170905,0
2017090620170906,0
2017090720170907,0
2017090820170908,0
2017090920170909,0
2017091020170910,0
2017091120170911,0
2017091220170912,0
2017091320170913,0
2017091420170914,0
2017091520170915,0
2017091620170916,0
2017091720170917,0.0182
2017091820170918,0.1879
2017091920170919,0.3959
2017092020170920,0.5854
2017092120170921,0.4118
2017092220170922,0.2627
2017092320170923,0.2103
2017092420170924,0.1106
2017092520170925,0.1781
2017092620170926,0.2083
2017092720170927,0.1749
2017092820170928,0.1388
2017092920170929,0.1303
2017093020170930,0.2008
2017100120171001,0.1188
2017100220171002,0.0621
2017100320171003,0.1288
2017100420171004,0.1166
2017100520171005,0.0336
2017100620171006,0.0518
2017100720171007,0.0730
2017100820171008,0.0561
2017100920171009,0.0286
2017101020171010,0.0323
2017101120171011,0.0324
2017101220171012,0.0447
2017101320171013,0.0760
2017101420171014,0.0558
2017101520171015,0.0830
2017101620171016,0.0481
2017101720171017,0.0310
2017101820171018,0.0341
2017101920171019,0.0531
2017102020171020,0.0573
2017102120171021,0.0456
2017102220171022,0.0692
2017102320171023,0.0232
2017102420171024,0.0243
2017102520171025,0.0275
2017102620171026,0.0423
2017102720171027,0.0316
2017102820171028,0.0160
2017102920171029,0.0474
2017103020171030,0.0529
2017103120171031,0.0454
2017110120171101,0.1448
2017110220171102,0.0095
2017110320171103,0.0167
2017110420171104,0.0351
2017110520171105,0.0821
2017110620171106,0.0427
2017110720171107,0.0161
2017110820171108,0.0170
2017110920171109,0.0267
2017111020171110,0.0273
2017111120171111,0.0186
2017111220171112,0.0304
