Date,Combined
2017080120170801,0.0152
2017080220170802,0.0393
2017080320170803,0.5273
2017080420170804,0.0295
2017080520170805,0.0345
2017080620170806,0.0396
2017080720170807,0.0236
2017080820170808,0.0288
2017080920170809,0.0197
2017081020170810,0.0119
2017081120170811,0.0108
2017081220170812,0.0221
2017081320170813,0.0313
2017081420170814,0.0247
2017081520170815,0.0308
2017081620170816,0.0275
2017081720170817,0.0253
2017081820170818,0.0288
2017081920170819,0.0603
2017082020170820,0.0124
2017082120170821,0.0260
2017082220170822,0.0089
2017082320170823,0.0360
2017082420170824,0.0192
2017082520170825,0.0185
2017082620170826,0.0261
2017082720170827,0.0285
2017082820170828,0.0209
2017082920170829,0.0454
2017083020170830,0.0479
2017083120170831,0.0458
2017090120170901,0.0322
2017090220170902,0.0160
2017090320170903,0.0496
2017090420170904,0.0144
2017090520170905,0.0112
2017090620170906,0.0299
2017090720170907,0.0176
2017090820170908,0.0184
2017090920170909,0.0148
2017091020170910,0.0267
2017091120170911,0.0259
2017091220170912,0.0470
2017091320170913,0.0177
2017091420170914,0.0253
2017091520170915,0.0305
2017091620170916,0.0493
2017091720170917,0.0493
2017091820170918,0.0167
2017091920170919,0.0237
2017092020170920,0.0223
2017092120170921,0.0115
2017092220170922,0.0325
2017092320170923,0.0117
2017092420170924,0.0078
2017092520170925,0.0368
2017092620170926,0.0106
2017092720170927,0.0255
2017092820170928,0.0493
2017092920170929,0.0215
2017093020170930,0.0132
2017100120171001,0.0203
2017100220171002,0.0108
2017100320171003,0.0189
2017100420171004,0.0210
2017100520171005,0.0225
2017100620171006,0.0535
2017100720171007,0.1441
2017100820171008,0.6233
