Date,Combined
2017080120170801,0.0496
2017080220170802,0
2017080320170803,0
2017080420170804,0.0356
2017080520170805,0.0257
2017080620170806,0.0408
2017080720170807,0.0127
2017080820170808,0.0167
2017080920170809,0.0149
2017081020170810,0.0072
2017081120170811,0
2017081220170812,0
2017081320170813,0.0541
2017081420170814,0
2017081520170815,0.0070
2017081620170816,0.0324
2017081720170817,0.0176
2017081820170818,0.0154
2017081920170819,0
2017082020170820,0
2017082120170821,0.0099
2017082220170822,0
2017082320170823,0.0112
2017082420170824,0.0169
2017082520170825,0.0107
2017082620170826,0.0391
2017082720170827,0.0286
2017082820170828,0.0104
2017082920170829,0.0069
2017083020170830,0
2017083120170831,0.0140
2017090120170901,0.0247
2017090220170902,0.0178
2017090320170903,0.0542
2017090420170904,0.0343
2017090520170905,0.1944
2017090620170906,0.4850
2017090720170907,0.3732
2017090820170908,0.0985
2017090920170909,0.0356
2017091020170910,0.0302
2017091120170911,0.0941
2017091220170912,0.0825
2017091320170913,0.0486
2017091420170914,0.0334
2017091520170915,0.0411
2017091620170916,0.0497
2017091720170917,0.0318
2017091820170918,0.2375
2017091920170919,0.6468
2017092020170920,1.3091
2017092120170921,0.9157
2017092220170922,0.5260
2017092320170923,0.3999
2017092420170924,0.1569
2017092520170925,0.3974
2017092620170926,0.9762
2017092720170927,0.9244
2017092820170928,0.9151
2017092920170929,0.9002
2017093020170930,1.3395
2017100120171001,1.1963
2017100220171002,0.3484
2017100320171003,0.8268
2017100420171004,0.7031
2017100520171005,0.3337
2017100620171006,0.3324
2017100720171007,0.3824
2017100820171008,0.3175
2017100920171009,0.1505
2017101020171010,0.1808
2017101120171011,0.1335
2017101220171012,0.3120
2017101320171013,0.5244
2017101420171014,0.2976
2017101520171015,0.2182
2017101620171016,0.1553
