Date,Combined
2017080120170801,0.0399
2017080220170802,0.0677
2017080320170803,0.2513
2017080420170804,0.0594
2017080520170805,0.0575
2017080620170806,0.0734
2017080720170807,0.0829
2017080820170808,0.0976
2017080920170809,0.0777
2017081020170810,0.0389
2017081120170811,0.0547
2017081220170812,0.0563
2017081320170813,0.0441
2017081420170814,0.0483
2017081520170815,0.0562
2017081620170816,0.0713
2017081720170817,0.0537
2017081820170818,0.0435
2017081920170819,0.0450
2017082020170820,0.0458
2017082120170821,0.0821
2017082220170822,0.0461
2017082320170823,0.0761
2017082420170824,0.3555
2017082520170825,1.2303
2017082620170826,2.0583
2017082720170827,1.5329
2017082820170828,2.1080
2017082920170829,2.0671
2017083020170830,2.2346
2017083120170831,1.9494
2017090120170901,1.5067
2017090220170902,1.2729
2017090320170903,0.5921
2017090420170904,0.3873
2017090520170905,0.3933
2017090620170906,0.3055
2017090720170907,0.2604
2017090820170908,0.3128
2017090920170909,0.1853
2017091020170910,0.0824
2017091120170911,0.2265
2017091220170912,0.1568
2017091320170913,0.1295
2017091420170914,0.1160
2017091520170915,0.0741
2017091620170916,0.0816
2017091720170917,0.0723
2017091820170918,0.0616
2017091920170919,0.0412
2017092020170920,0.0519
2017092120170921,0.1079
2017092220170922,0.0556
2017092320170923,0.0692
2017092420170924,0.0535
2017092520170925,0.0657
2017092620170926,0.1278
2017092720170927,0.1007
2017092820170928,0.0935
2017092920170929,0.1135
2017093020170930,0.1068
2017100120171001,0.1599
2017100220171002,0.0713
2017100320171003,0.0977
2017100420171004,0.0937
2017100520171005,0.0856
2017100620171006,0.1006
2017100720171007,0.0757
2017100820171008,0.0632
2017100920171009,0.0585
2017101020171010,0.1001
2017101120171011,0.0380
2017101220171012,0.0699
2017101320171013,0.0695
2017101420171014,0.0685
2017101520171015,0.0322
2017101620171016,0.0380
